# Trained_Coeffs, Unscaled, Sparsity_Mask
1.154091954231262207e-01,6.042811341633368416e-01,0.000000000000000000e+00
3.293783366680145264e-01,6.290662851372118280e-02,1.000000000000000000e+00
5.721361041069030762e-01,8.116468282156974965e+02,3.000000000000000000e+00
1.596676349639892578e+00,4.325994984805582817e+02,4.000000000000000000e+00
3.516111969947814941e-01,1.819420959816375216e+01,5.000000000000000000e+00
