# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
1.887676715850830078e-01,8.570184558629989624e-02,0.000000000000000000e+00
7.725657820701599121e-01,3.587914228439331055e+00,1.000000000000000000e+00
1.164068579673767090e-01,2.035947322845458984e+00,2.000000000000000000e+00
-1.488845199346542358e-01,-5.498800054192543030e-02,3.000000000000000000e+00
1.748468756675720215e+00,1.860339283943176270e+00,4.000000000000000000e+00
8.367576003074645996e-01,3.432557106018066406e+00,5.000000000000000000e+00
8.800987154245376587e-02,1.490447640419006348e+00,6.000000000000000000e+00
