# Trained_Coeffs, Sparsity_Mask
5.495886877179145813e-02,0.000000000000000000e+00
2.700832486152648926e-01,1.000000000000000000e+00
5.719728395342826843e-02,2.000000000000000000e+00
1.010176181793212891e+00,3.000000000000000000e+00
1.117185130715370178e-01,4.000000000000000000e+00
