# Time, Voltage, Current
1.622000000000000108e+00,6.559999999999999609e+00,2.313725490196078330e-02
1.624000000000000110e+00,6.639999999999999680e+00,2.196078431372549059e-02
1.625999999999999890e+00,6.559999999999999609e+00,2.156862745098039533e-02
1.627999999999999892e+00,6.639999999999999680e+00,2.156862745098039533e-02
1.629999999999999893e+00,6.559999999999999609e+00,2.117647058823529660e-02
1.631999999999999895e+00,6.559999999999999609e+00,2.196078431372549059e-02
1.633999999999999897e+00,6.559999999999999609e+00,2.156862745098039533e-02
1.635999999999999899e+00,6.559999999999999609e+00,2.039215686274509914e-02
1.637999999999999901e+00,6.559999999999999609e+00,2.078431372549019787e-02
1.639999999999999902e+00,6.639999999999999680e+00,2.000000000000000042e-02
1.641999999999999904e+00,6.639999999999999680e+00,2.000000000000000042e-02
1.643999999999999906e+00,6.480000000000000426e+00,2.039215686274509914e-02
1.645999999999999908e+00,6.480000000000000426e+00,2.000000000000000042e-02
1.647999999999999909e+00,6.639999999999999680e+00,2.039215686274509914e-02
1.649999999999999911e+00,6.639999999999999680e+00,1.960784313725490516e-02
1.651999999999999913e+00,6.639999999999999680e+00,1.960784313725490516e-02
1.653999999999999915e+00,6.559999999999999609e+00,1.882352941176470770e-02
1.655999999999999917e+00,6.559999999999999609e+00,1.764705882352941152e-02
1.657999999999999918e+00,6.559999999999999609e+00,1.921568627450980643e-02
1.659999999999999920e+00,6.559999999999999609e+00,1.882352941176470770e-02
1.661999999999999922e+00,6.559999999999999609e+00,1.843137254901960898e-02
1.663999999999999924e+00,6.559999999999999609e+00,1.843137254901960898e-02
1.665999999999999925e+00,6.559999999999999609e+00,1.764705882352941152e-02
1.667999999999999927e+00,6.480000000000000426e+00,1.803921568627451025e-02
1.669999999999999929e+00,6.559999999999999609e+00,1.803921568627451025e-02
1.671999999999999931e+00,6.559999999999999609e+00,1.764705882352941152e-02
1.673999999999999932e+00,6.480000000000000426e+00,1.803921568627451025e-02
1.675999999999999934e+00,6.480000000000000426e+00,1.764705882352941152e-02
1.677999999999999936e+00,6.480000000000000426e+00,1.725490196078431279e-02
1.679999999999999938e+00,6.320000000000000284e+00,1.686274509803921406e-02
1.681999999999999940e+00,6.400000000000000355e+00,1.725490196078431279e-02
1.683999999999999941e+00,6.480000000000000426e+00,1.686274509803921406e-02
1.685999999999999943e+00,6.400000000000000355e+00,1.686274509803921406e-02
1.687999999999999945e+00,6.400000000000000355e+00,1.647058823529411881e-02
1.689999999999999947e+00,6.480000000000000426e+00,1.607843137254902008e-02
1.691999999999999948e+00,6.400000000000000355e+00,1.647058823529411881e-02
