# Trained_Coeffs, Unscaled, Sparsity_Mask
3.816384971141815186e-01,1.392050313039303912e-02,2.000000000000000000e+00
1.233775615692138672e-01,2.196411565914099810e+02,3.000000000000000000e+00
1.326797246932983398e+00,4.511110639572142986e+02,4.000000000000000000e+00
4.449923336505889893e-01,5.518667154766636607e+00,6.000000000000000000e+00
