# Trained_Coeffs, Unscaled, Sparsity_Mask
1.635245233774185181e-01,4.281062011035586812e-01,0.000000000000000000e+00
8.923368155956268311e-02,3.408475562518201857e-02,1.000000000000000000e+00
1.659888476133346558e-01,2.421818857671940647e-02,2.000000000000000000e+00
4.608497619628906250e-01,2.013761278804154472e+03,3.000000000000000000e+00
1.313370108604431152e+00,2.192134108543395996e+03,4.000000000000000000e+00
1.290673762559890747e-01,8.228635910117552044e+01,5.000000000000000000e+00
2.051369696855545044e-01,4.995588695563803583e+01,6.000000000000000000e+00
