# Trained_Coeffs, Scaled_Trained_Coeffs
1.591110825538635254e-01,1.325875520706176758e+00
1.695609569549560547e+00,6.919709444046020508e-01
1.607557684183120728e-01,6.242848560214042664e-02
7.868820428848266602e-01,8.474668884277343750e+01
1.201181054115295410e+00,8.362945556640625000e+01
2.286953628063201904e-01,1.377574729919433594e+01
7.270515561103820801e-01,4.057060241699218750e+01
