# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
1.626740455627441406e+00,9.342140555381774902e-01,0.000000000000000000e+00
1.771871298551559448e-01,4.540044367313385010e-01,1.000000000000000000e+00
9.899564087390899658e-02,6.434805393218994141e-01,2.000000000000000000e+00
2.442232847213745117e+00,1.640766412019729614e-01,3.000000000000000000e+00
5.379018783569335938e+00,2.710232436656951904e-01,4.000000000000000000e+00
3.398669719696044922e+00,1.600215435028076172e-01,5.000000000000000000e+00
3.248990535736083984e+00,5.367216467857360840e-01,6.000000000000000000e+00
