# Trained_Coeffs, Sparsity_Mask
4.127065837383270264e-01,0.000000000000000000e+00
4.391710087656974792e-02,1.000000000000000000e+00
5.085330605506896973e-01,2.000000000000000000e+00
8.193268775939941406e-01,3.000000000000000000e+00
5.924035212956368923e-04,4.000000000000000000e+00
