# Target_Coeffs, Prediction_Coeffs, Sparsity_Mask
1.989436788648691820e-02,1.498865485191345215e-01,0.000000000000000000e+00
2.387324146378430254e-02,1.008087158203125000e+00,1.000000000000000000e+00
2.000000000000000111e-01,-9.379838407039642334e-02,2.000000000000000000e+00
