# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
8.936276435852050781e-01,1.485990405082702637e+00,0.000000000000000000e+00
1.020489931106567383e+00,7.476223111152648926e-01,1.000000000000000000e+00
8.566469550132751465e-01,5.327678322792053223e-01,2.000000000000000000e+00
4.003051280975341797e+00,5.758160948753356934e-01,3.000000000000000000e+00
-1.888670444488525391e+00,-2.750860750675201416e-01,4.000000000000000000e+00
2.770866155624389648e+00,2.606455087661743164e-01,5.000000000000000000e+00
-1.321350812911987305e+00,-1.211824268102645874e-01,6.000000000000000000e+00
