# Trained_Coeffs, Sparsity_Mask
6.622110009193420410e-01,0.000000000000000000e+00
1.880252212285995483e-01,1.000000000000000000e+00
7.639297246932983398e-01,2.000000000000000000e+00
7.315472364425659180e-01,3.000000000000000000e+00
5.097271874547004700e-02,4.000000000000000000e+00
