# Trained_Coeffs, Scaled_Trained_Coeffs
1.938100576400756836e+00,2.820978164672851562e+00
6.261457204818725586e-01,5.533294081687927246e-01
1.714249014854431152e+00,1.616351604461669922e+00
8.011085987091064453e-01,5.804029107093811035e-01
6.969857215881347656e-01,2.310982719063758850e-02
2.038606166839599609e+00,5.601392313838005066e-02
1.672046482563018799e-01,6.605085451155900955e-03
