# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
7.640357613563537598e-01,1.433609485626220703e+00,0.000000000000000000e+00
8.960655331611633301e-01,7.475684285163879395e-01,1.000000000000000000e+00
8.660759925842285156e-01,5.686550140380859375e-01,2.000000000000000000e+00
4.432149887084960938e+00,7.564881443977355957e-01,3.000000000000000000e+00
3.228016376495361328e+00,3.138415813446044922e-01,5.000000000000000000e+00
