# Trained_Coeffs, Unscaled, Sparsity_Mask
9.046727418899536133e-02,4.736855399707355918e-01,0.000000000000000000e+00
6.032840013504028320e-01,1.152187570838091174e-01,1.000000000000000000e+00
7.896505296230316162e-02,2.880299747707361097e-03,2.000000000000000000e+00
4.930971562862396240e-01,7.409473829198167323e+02,3.000000000000000000e+00
1.695182800292968750e+00,4.864887317722127591e+02,4.000000000000000000e+00
7.751134634017944336e-01,4.248375604503778646e+01,5.000000000000000000e+00
1.406340748071670532e-01,1.472141527906999592e+00,6.000000000000000000e+00
