# Time, Voltage, Current
3.228000000000000203e+00,7.200000000000000178e+00,3.428571428571428395e-03
3.232000000000000206e+00,6.959999999999999964e+00,4.190476190476190646e-03
3.236000000000000210e+00,7.120000000000000107e+00,3.238095238095238266e-03
3.240000000000000213e+00,7.120000000000000107e+00,3.238095238095238266e-03
3.244000000000000217e+00,7.040000000000000036e+00,2.857142857142857140e-03
3.248000000000000220e+00,6.959999999999999964e+00,3.238095238095238266e-03
3.251999999999999780e+00,7.040000000000000036e+00,3.238095238095238266e-03
3.255999999999999783e+00,7.120000000000000107e+00,3.238095238095238266e-03
3.259999999999999787e+00,7.040000000000000036e+00,3.238095238095238266e-03
3.263999999999999790e+00,6.959999999999999964e+00,3.238095238095238266e-03
3.267999999999999794e+00,7.040000000000000036e+00,3.238095238095238266e-03
3.271999999999999797e+00,7.120000000000000107e+00,3.428571428571428395e-03
3.275999999999999801e+00,6.959999999999999964e+00,3.142857142857142985e-03
3.279999999999999805e+00,6.959999999999999964e+00,3.333333333333333547e-03
3.283999999999999808e+00,7.040000000000000036e+00,3.238095238095238266e-03
3.287999999999999812e+00,7.040000000000000036e+00,3.142857142857142985e-03
3.291999999999999815e+00,7.040000000000000036e+00,2.952380952380952422e-03
3.295999999999999819e+00,7.040000000000000036e+00,3.238095238095238266e-03
3.299999999999999822e+00,6.959999999999999964e+00,3.142857142857142985e-03
3.303999999999999826e+00,6.959999999999999964e+00,3.047619047619047703e-03
3.307999999999999829e+00,7.040000000000000036e+00,3.238095238095238266e-03
3.311999999999999833e+00,6.799999999999999822e+00,4.000000000000000083e-03
3.315999999999999837e+00,6.959999999999999964e+00,3.047619047619047703e-03
3.319999999999999840e+00,6.959999999999999964e+00,3.047619047619047703e-03
3.323999999999999844e+00,6.959999999999999964e+00,3.047619047619047703e-03
3.327999999999999847e+00,6.879999999999999893e+00,3.142857142857142985e-03
3.331999999999999851e+00,6.879999999999999893e+00,3.047619047619047703e-03
3.335999999999999854e+00,6.879999999999999893e+00,2.952380952380952422e-03
3.339999999999999858e+00,6.959999999999999964e+00,3.047619047619047703e-03
3.343999999999999861e+00,6.799999999999999822e+00,3.047619047619047703e-03
3.347999999999999865e+00,6.959999999999999964e+00,3.047619047619047703e-03
3.351999999999999869e+00,6.799999999999999822e+00,2.857142857142857140e-03
3.355999999999999872e+00,6.799999999999999822e+00,2.952380952380952422e-03
3.359999999999999876e+00,6.879999999999999893e+00,2.285714285714285886e-03
3.363999999999999879e+00,6.719999999999999751e+00,2.952380952380952422e-03
3.367999999999999883e+00,6.799999999999999822e+00,2.857142857142857140e-03
3.371999999999999886e+00,6.799999999999999822e+00,2.952380952380952422e-03
3.375999999999999890e+00,6.799999999999999822e+00,2.952380952380952422e-03
3.379999999999999893e+00,6.719999999999999751e+00,3.047619047619047703e-03
3.383999999999999897e+00,6.719999999999999751e+00,2.857142857142857140e-03
3.387999999999999901e+00,6.719999999999999751e+00,2.952380952380952422e-03
3.391999999999999904e+00,6.799999999999999822e+00,2.666666666666666578e-03
3.395999999999999908e+00,6.799999999999999822e+00,2.857142857142857140e-03
3.399999999999999911e+00,6.719999999999999751e+00,2.761904761904761859e-03
3.403999999999999915e+00,6.719999999999999751e+00,2.857142857142857140e-03
3.407999999999999918e+00,6.719999999999999751e+00,2.761904761904761859e-03
3.411999999999999922e+00,6.719999999999999751e+00,2.857142857142857140e-03
3.415999999999999925e+00,6.639999999999999680e+00,2.761904761904761859e-03
3.419999999999999929e+00,6.639999999999999680e+00,2.952380952380952422e-03
3.423999999999999932e+00,6.559999999999999609e+00,2.761904761904761859e-03
3.427999999999999936e+00,6.559999999999999609e+00,2.761904761904761859e-03
3.431999999999999940e+00,6.559999999999999609e+00,2.761904761904761859e-03
3.435999999999999943e+00,6.559999999999999609e+00,2.666666666666666578e-03
3.439999999999999947e+00,6.480000000000000426e+00,2.571428571428571296e-03
3.443999999999999950e+00,6.559999999999999609e+00,2.666666666666666578e-03
3.447999999999999954e+00,6.559999999999999609e+00,2.666666666666666578e-03
3.451999999999999957e+00,6.400000000000000355e+00,2.571428571428571296e-03
3.455999999999999961e+00,6.559999999999999609e+00,2.761904761904761859e-03
3.459999999999999964e+00,6.400000000000000355e+00,2.571428571428571296e-03
3.463999999999999968e+00,6.320000000000000284e+00,2.666666666666666578e-03
3.467999999999999972e+00,6.400000000000000355e+00,2.666666666666666578e-03
3.471999999999999975e+00,6.400000000000000355e+00,2.666666666666666578e-03
3.475999999999999979e+00,6.320000000000000284e+00,2.476190476190476015e-03
3.479999999999999982e+00,6.240000000000000213e+00,2.666666666666666578e-03
3.483999999999999986e+00,6.320000000000000284e+00,2.666666666666666578e-03
3.487999999999999989e+00,6.400000000000000355e+00,2.476190476190476015e-03
3.491999999999999993e+00,6.240000000000000213e+00,2.476190476190476015e-03
3.495999999999999996e+00,6.240000000000000213e+00,2.476190476190476015e-03
3.500000000000000000e+00,6.160000000000000142e+00,2.380952380952381167e-03
3.504000000000000004e+00,6.240000000000000213e+00,2.476190476190476015e-03
3.508000000000000007e+00,6.160000000000000142e+00,2.476190476190476015e-03
3.512000000000000011e+00,6.160000000000000142e+00,2.380952380952381167e-03
3.516000000000000014e+00,6.160000000000000142e+00,2.476190476190476015e-03
3.520000000000000018e+00,6.080000000000000071e+00,2.380952380952381167e-03
3.524000000000000021e+00,6.080000000000000071e+00,2.476190476190476015e-03
3.528000000000000025e+00,6.000000000000000000e+00,2.476190476190476015e-03
3.532000000000000028e+00,6.000000000000000000e+00,2.380952380952381167e-03
3.536000000000000032e+00,6.000000000000000000e+00,2.285714285714285886e-03
3.540000000000000036e+00,5.919999999999999929e+00,2.666666666666666578e-03
3.544000000000000039e+00,5.919999999999999929e+00,2.285714285714285886e-03
3.548000000000000043e+00,5.839999999999999858e+00,2.380952380952381167e-03
3.552000000000000046e+00,6.000000000000000000e+00,2.285714285714285886e-03
3.556000000000000050e+00,5.919999999999999929e+00,2.380952380952381167e-03
3.560000000000000053e+00,5.679999999999999716e+00,2.190476190476190604e-03
3.564000000000000057e+00,5.679999999999999716e+00,2.095238095238095323e-03
3.568000000000000060e+00,5.759999999999999787e+00,2.285714285714285886e-03
3.572000000000000064e+00,5.759999999999999787e+00,2.285714285714285886e-03
3.576000000000000068e+00,5.759999999999999787e+00,2.380952380952381167e-03
3.580000000000000071e+00,5.679999999999999716e+00,2.095238095238095323e-03
3.584000000000000075e+00,5.679999999999999716e+00,2.095238095238095323e-03
3.588000000000000078e+00,5.599999999999999645e+00,2.190476190476190604e-03
3.592000000000000082e+00,5.519999999999999574e+00,2.190476190476190604e-03
3.596000000000000085e+00,5.440000000000000391e+00,2.095238095238095323e-03
3.600000000000000089e+00,5.440000000000000391e+00,2.095238095238095323e-03
3.604000000000000092e+00,5.519999999999999574e+00,2.190476190476190604e-03
3.608000000000000096e+00,5.440000000000000391e+00,2.000000000000000042e-03
3.612000000000000099e+00,5.360000000000000320e+00,2.000000000000000042e-03
3.616000000000000103e+00,5.440000000000000391e+00,2.000000000000000042e-03
3.620000000000000107e+00,5.360000000000000320e+00,2.095238095238095323e-03
3.624000000000000110e+00,5.440000000000000391e+00,2.000000000000000042e-03
3.628000000000000114e+00,5.360000000000000320e+00,1.904761904761904760e-03
3.632000000000000117e+00,5.280000000000000249e+00,2.000000000000000042e-03
3.636000000000000121e+00,5.280000000000000249e+00,1.904761904761904760e-03
3.640000000000000124e+00,5.280000000000000249e+00,2.000000000000000042e-03
3.644000000000000128e+00,5.200000000000000178e+00,1.904761904761904760e-03
3.648000000000000131e+00,5.120000000000000107e+00,1.809523809523809479e-03
3.652000000000000135e+00,5.120000000000000107e+00,1.904761904761904760e-03
3.656000000000000139e+00,5.040000000000000036e+00,1.809523809523809479e-03
3.660000000000000142e+00,5.040000000000000036e+00,1.809523809523809479e-03
3.664000000000000146e+00,5.040000000000000036e+00,1.714285714285714197e-03
3.668000000000000149e+00,5.040000000000000036e+00,1.714285714285714197e-03
3.672000000000000153e+00,4.959999999999999964e+00,1.619047619047619133e-03
3.676000000000000156e+00,4.879999999999999893e+00,1.714285714285714197e-03
3.680000000000000160e+00,4.719999999999999751e+00,1.809523809523809479e-03
3.684000000000000163e+00,4.799999999999999822e+00,1.714285714285714197e-03
3.688000000000000167e+00,4.879999999999999893e+00,1.809523809523809479e-03
3.692000000000000171e+00,4.799999999999999822e+00,1.809523809523809479e-03
3.696000000000000174e+00,4.719999999999999751e+00,1.714285714285714197e-03
3.700000000000000178e+00,4.719999999999999751e+00,1.714285714285714197e-03
3.704000000000000181e+00,4.559999999999999609e+00,1.523809523809523852e-03
3.708000000000000185e+00,4.639999999999999680e+00,1.428571428571428570e-03
3.712000000000000188e+00,4.639999999999999680e+00,1.428571428571428570e-03
3.716000000000000192e+00,4.559999999999999609e+00,1.523809523809523852e-03
3.720000000000000195e+00,4.559999999999999609e+00,1.523809523809523852e-03
3.724000000000000199e+00,4.480000000000000426e+00,1.523809523809523852e-03
3.728000000000000203e+00,4.559999999999999609e+00,1.523809523809523852e-03
3.732000000000000206e+00,4.400000000000000355e+00,1.333333333333333289e-03
3.736000000000000210e+00,4.400000000000000355e+00,1.428571428571428570e-03
3.740000000000000213e+00,4.400000000000000355e+00,1.523809523809523852e-03
3.744000000000000217e+00,4.320000000000000284e+00,1.428571428571428570e-03
3.748000000000000220e+00,4.320000000000000284e+00,1.523809523809523852e-03
3.751999999999999780e+00,4.240000000000000213e+00,3.238095238095238266e-03
3.755999999999999783e+00,4.160000000000000142e+00,1.333333333333333289e-03
3.759999999999999787e+00,4.160000000000000142e+00,1.333333333333333289e-03
3.763999999999999790e+00,4.080000000000000071e+00,1.428571428571428570e-03
3.767999999999999794e+00,4.000000000000000000e+00,1.238095238095238007e-03
3.771999999999999797e+00,4.000000000000000000e+00,1.238095238095238007e-03
3.775999999999999801e+00,4.000000000000000000e+00,1.333333333333333289e-03
3.779999999999999805e+00,4.080000000000000071e+00,1.333333333333333289e-03
3.783999999999999808e+00,3.839999999999999858e+00,1.333333333333333289e-03
3.787999999999999812e+00,3.919999999999999929e+00,9.523809523809523801e-04
3.791999999999999815e+00,3.839999999999999858e+00,1.238095238095238007e-03
3.795999999999999819e+00,3.759999999999999787e+00,1.333333333333333289e-03
3.799999999999999822e+00,3.759999999999999787e+00,1.142857142857142943e-03
3.803999999999999826e+00,3.680000000000000160e+00,1.142857142857142943e-03
3.807999999999999829e+00,3.759999999999999787e+00,1.142857142857142943e-03
3.811999999999999833e+00,3.680000000000000160e+00,1.047619047619047662e-03
3.815999999999999837e+00,3.600000000000000089e+00,1.047619047619047662e-03
3.819999999999999840e+00,3.600000000000000089e+00,1.047619047619047662e-03
3.823999999999999844e+00,3.600000000000000089e+00,1.047619047619047662e-03
3.827999999999999847e+00,3.520000000000000018e+00,1.047619047619047662e-03
3.831999999999999851e+00,3.439999999999999947e+00,1.142857142857142943e-03
