# Time, Target_Strain, Stress, Prediction_Strain
1.811962486497299452e+01,2.219267236908417651e-02,-3.680088652527681303e-02,2.250275760889053345e-02
2.240546969393878984e-01,2.071809140749603650e-01,9.916542244706105791e-01,2.072060704231262207e-01
2.116432226445289277e+00,1.435916232998333819e-01,4.038860518877708805e-01,1.438093185424804688e-01
1.504701187837567566e+01,4.540927981831766047e-02,4.079668240545195751e-02,4.543211311101913452e-02
9.745954316863372213e+00,4.090476063543474483e-02,-3.239118215753634955e-02,4.117788374423980713e-02
6.973401192238447344e+00,6.219143833751600292e-02,9.130460880227914133e-02,6.303719431161880493e-02
4.116831306261252266e+00,2.053546518761234507e-02,-2.010856717862435916e-01,2.054487913846969604e-02
1.847569590118023442e+01,2.478260435102652703e-02,-1.976713264434546910e-02,2.514782547950744629e-02
8.581722052410482249e+00,6.573153396121916847e-02,8.700810169734796151e-02,6.668699532747268677e-02
5.913189679935986653e+00,3.264383354795791226e-02,-6.115334949394889835e-02,3.329741209745407104e-02
1.460292328265653161e+01,4.922917206433796711e-02,6.118515669177224114e-02,4.939108341932296753e-02
9.961997417483496875e+00,3.634282762709351022e-02,-5.137013087488529611e-02,3.652079403400421143e-02
9.562007601520303712e-01,2.063545377801668246e-01,8.544301107210333646e-01,2.066468894481658936e-01
1.299060162432486543e+01,4.173705141774963767e-02,3.168599054128146825e-02,4.208383709192276001e-02
3.240656509301860666e+00,6.147957706213952322e-02,-3.051909552520963922e-02,6.154235452413558960e-02
6.389284660932186277e+00,4.694267239668353797e-02,1.657468872112372038e-02,4.783426970243453979e-02
1.634327048209641831e+01,2.816397451533392271e-02,-3.631004066319942075e-02,2.794835716485977173e-02
1.949589943188637875e+01,3.404150950090967243e-02,3.089221384801323772e-02,3.461825847625732422e-02
2.432495281056211489e+00,1.197568842023466473e-01,2.676876672240388610e-01,1.198715642094612122e-01
1.521104460292058391e+01,4.351070594206951636e-02,3.134032891943813737e-02,4.346729069948196411e-02
1.813162725945188924e+01,2.226517669977723379e-02,-3.628058339369904378e-02,2.257986366748809814e-02
7.469500164032806033e+00,7.005065008232591595e-02,1.241037588075134396e-01,7.081615179777145386e-02
3.200648527705541202e+00,6.404201322847208333e-02,-1.844049804780368770e-02,6.410970538854598999e-02
1.479096079615923109e+01,4.787890240372782991e-02,5.366670200658590906e-02,4.799933731555938721e-02
9.353876097219442798e+00,4.984553508479400152e-02,7.573595472222019107e-03,5.038966238498687744e-02
4.476903140628125222e+00,1.343650923279127163e-02,-2.172039625688644560e-01,1.350101083517074585e-02
1.833166716743348701e+01,2.363474222717998341e-02,-2.700500983443701597e-02,2.399741858243942261e-02
1.773954903980796161e+01,2.057698489114256901e-02,-5.049179906939669366e-02,2.065716683864593506e-02
5.841265313062612430e-01,2.113587157124722782e-01,9.440950219011726707e-01,2.115961909294128418e-01
1.530306296059211846e+01,4.235922965523175598e-02,2.574171796064982087e-02,4.228512197732925415e-02
1.576715554710942158e+01,3.598094156248410336e-02,-3.751958902895658962e-03,3.585311770439147949e-02
1.703540856371274259e+01,2.174388789291481494e-02,-5.697168753335646318e-02,2.139803022146224976e-02
1.556311484096819342e+01,3.886339709632413708e-02,9.274650166663732029e-03,3.874201327562332153e-02
1.714343011402280581e+01,2.119013255966406550e-02,-5.779805592681441784e-02,2.087513357400894165e-02
8.601816043208641016e-01,2.085146153007818304e-01,8.811639682291220188e-01,2.087948322296142578e-01
1.886777412082416561e+01,2.833847396205935176e-02,9.655188474781510859e-04,2.863650023937225342e-02
1.265053378075615065e+01,3.694556737411225367e-02,6.645082513416607044e-03,3.720077872276306152e-02
1.440297337467493666e+00,1.872576149296690251e-01,6.883974985071769082e-01,1.876454949378967285e-01
1.647529682136427454e+01,2.660712491621908260e-02,-4.213693405541012876e-02,2.634549885988235474e-02
5.769160946189237471e+00,2.850782841104104737e-02,-8.522652216020824845e-02,2.905789762735366821e-02
1.511502544708941720e+01,4.464835183707505095e-02,3.696982021639540206e-02,4.464266449213027954e-02
8.002596319263852176e-02,2.029641360768750791e-01,9.989329825937265372e-01,2.028712630271911621e-01
