# Trained_Coeffs, Scaled_Trained_Coeffs
3.236224651336669922e-01,5.252127051353454590e-01
4.206249415874481201e-01,6.276786923408508301e-01
-2.236947475466877222e-04,-4.583606205414980650e-04
4.885898232460021973e-01,6.955108046531677246e-01
1.011776924133300781e+00,7.667624950408935547e-01
2.044356614351272583e-01,1.103870123624801636e-01
1.221670885570347309e-03,5.032455665059387684e-04
