# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
1.552170217037200928e-01,3.762535572052001953e+00,0.000000000000000000e+00
1.691661000251770020e+00,1.098387241363525391e+00,1.000000000000000000e+00
1.645411401987075806e-01,8.280947804450988770e-02,2.000000000000000000e+00
7.828820943832397461e-01,6.503212738037109375e+01,3.000000000000000000e+00
1.192453145980834961e+00,5.433187866210937500e+01,4.000000000000000000e+00
2.326951771974563599e-01,7.783068180084228516e+00,5.000000000000000000e+00
7.230533361434936523e-01,1.900903892517089844e+01,6.000000000000000000e+00
