# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
2.098868131637573242e+00,6.189998984336853027e-01,0.000000000000000000e+00
5.753957107663154602e-02,3.030925393104553223e-01,1.000000000000000000e+00
2.512691542506217957e-02,6.331045627593994141e-01,2.000000000000000000e+00
7.338892221450805664e-01,6.069584190845489502e-02,4.000000000000000000e+00
3.564417958259582520e-01,5.366352200508117676e-02,5.000000000000000000e+00
6.529164314270019531e-01,3.919683098793029785e-01,6.000000000000000000e+00
