# Time, Target_Strain, Stress, Prediction_Strain
9.769959105821163448e+00,2.106890930095595138e-02,-3.463342468425826409e-02,2.273555099964141846e-02
1.773154744348869727e+01,1.164350071335745751e-02,-5.071362155449427728e-02,1.041886955499649048e-02
1.421484586117223436e+01,3.791723323218215702e-02,7.013684982445572702e-02,3.743285685777664185e-02
1.277455852370474076e+01,2.625137719986114782e-02,1.617960241015371087e-02,2.928912639617919922e-02
7.637533686737347338e+00,5.195531389617119578e-02,1.278772041360813350e-01,5.114560574293136597e-02
2.672543170634126941e+00,6.876332365637166655e-02,1.691417504615529976e-01,6.298457831144332886e-02
1.107421930586117220e+01,7.365112767061143817e-03,-9.002070905697363845e-02,1.094043999910354614e-02
1.664333034406881495e+01,1.379789330786201917e-02,-4.835672812021862138e-02,1.198125630617141724e-02
7.177441898379675500e+00,4.724104622264407860e-02,1.086381276876292740e-01,4.680830985307693481e-02
2.196448189637927761e+00,1.065307407868901768e-01,3.690419595987590173e-01,1.001922413706779480e-01
1.537107652930586177e+01,2.880436543882403111e-02,2.150470322878300991e-02,2.600005269050598145e-02
1.581116432686537365e+01,2.305177464082996952e-02,-6.515520587087178690e-03,2.017306536436080933e-02
1.089418338867773528e+01,7.522349605452283150e-03,-9.132069005754674118e-02,1.099289208650588989e-02
1.869573979995999125e+01,1.913520136911445180e-02,-8.194931438144635941e-03,1.634852588176727295e-02
7.061418751750349720e+00,4.521497875499186359e-02,9.941662985801384689e-02,4.489462822675704956e-02
3.664741114222844764e+00,6.973211499952114423e-03,-1.363288564037160866e-01,4.283882677555084229e-03
1.369074130226045227e+01,3.658705028322256636e-02,6.588365457648258372e-02,3.727883100509643555e-02
8.881871914382876154e-01,1.914836160255164732e-01,8.736102876571687492e-01,1.901517510414123535e-01
1.153831189237847532e+01,9.526015707180091052e-03,-7.421345305142075521e-02,1.329533010721206665e-02
6.801366871374274758e+00,3.957763649307693976e-02,7.282377985085358718e-02,3.952758014202117920e-02
4.024812948589717720e+00,-5.597694327607871667e-03,-1.920056170247835536e-01,-6.845749914646148682e-03
3.992806563312662593e+00,-4.726324691425032309e-03,-1.883589899588462568e-01,-6.101839244365692139e-03
1.519104061212242485e+01,3.100078822258517386e-02,3.253280822848517856e-02,2.840325236320495605e-02
1.355471416483296565e+01,3.562287192287183490e-02,6.161073887998196746e-02,3.663320839405059814e-02
4.284864828965792682e+00,-1.089111238141959870e-02,-2.123742773760197433e-01,-1.115506887435913086e-02
9.237852950590117018e+00,3.240219526944126960e-02,2.011705044662396094e-02,3.275708109140396118e-02
1.725545246249249942e+01,1.093277438330231277e-02,-5.793695663799009604e-02,9.792216122150421143e-03
7.541514530906180624e+00,5.142296156834424981e-02,1.261786418918094677e-01,5.068027228116989136e-02
1.348269979795959195e+01,3.501648795237638501e-02,5.884373471455951049e-02,3.620261698961257935e-02
3.204649325865173370e+00,3.137662649304992502e-02,-1.966358471931093851e-02,2.702786028385162354e-02
4.440895957191438370e+00,-1.256722805329835158e-02,-2.169318073198710228e-01,-1.231431216001510620e-02
9.421889665933186109e+00,2.837354697120231251e-02,3.065511190209521783e-04,2.916958183050155640e-02
9.901985445089017901e+00,1.853873079243817390e-02,-4.638468048337068828e-02,2.052173018455505371e-02
1.730346204040808189e+01,1.088856904546342541e-02,-5.777427128566094833e-02,9.767368435859680176e-03
1.356280576115223235e+00,1.681114968618510896e-01,7.204111082969255619e-01,1.635177433490753174e-01
1.588317869373874736e+01,2.211244966774866816e-02,-1.097515002541692673e-02,1.927778869867324829e-02
1.131026639727945593e+01,8.026124429696690488e-03,-8.407332682780929711e-02,1.170689612627029419e-02
1.877575576315263106e+01,1.994609576227129866e-02,-3.927042187485169263e-03,1.701763272285461426e-02
1.267453856971394188e+01,2.474018783236081598e-02,8.517639130289179211e-03,2.799408882856369019e-02
1.885977252450490127e+01,2.080240024068708005e-02,5.417045842256092451e-04,1.773541420698165894e-02
2.888586271254251159e+00,5.266245826048224221e-02,8.665683988316616460e-02,4.738821834325790405e-02
9.361967693538707502e-01,1.896116434708868537e-01,8.601922072390338903e-01,1.878413558006286621e-01
1.332666866973394626e+01,3.348999482984005294e-02,5.171115699307633762e-02,3.507579118013381958e-02
8.685742804560911523e+00,4.365598309494800322e-02,7.754950914798490469e-02,4.300672560930252075e-02
1.334267186237247493e+01,3.365930472807354690e-02,5.251160553648808599e-02,3.520298749208450317e-02
3.560810362072414637e-01,2.028094110168005004e-01,9.790012842346810240e-01,2.077212929725646973e-01
1.580316273054610932e+01,2.315675719601167915e-02,-6.014981403782287961e-03,2.027405798435211182e-02
1.928785792758551665e+01,2.501719804740071273e-02,2.200361442486788513e-02,2.151932567358016968e-02
1.844769031406281101e+01,1.670938824744777618e-02,-2.120243755428577459e-02,1.439466327428817749e-02
7.405487393478695779e+00,5.025784491519202923e-02,1.216801794286707927e-01,4.962202161550521851e-02
5.933193670734146608e+00,1.369043354680371527e-02,-5.779180151152808753e-02,1.468033343553543091e-02
1.949589943188637875e+01,2.681947788820299161e-02,3.089221384801323772e-02,2.335404604673385620e-02
1.476295520904180769e+01,3.530527706940250754e-02,5.490104404791300990e-02,3.352288156747817993e-02
5.785164138827765257e+00,9.016055913230791585e-03,-8.257121171778819546e-02,1.017439365386962891e-02
4.240946049209842195e-01,2.023762069200936708e-01,9.702923783933044000e-01,2.063554525375366211e-01
4.012810554110822103e+00,-5.276600855052271388e-03,-1.906677861425405685e-01,-6.572395563125610352e-03
1.515903422684536928e+01,3.137250342362546407e-02,3.441999686965999811e-02,2.882163971662521362e-02
1.792758655331066109e+01,1.262666083957048047e-02,-4.444508785549956126e-02,1.119446009397506714e-02
1.444689215443088592e+01,3.727960446566069841e-02,6.592541494824950832e-02,3.624634444713592529e-02
1.340668463292658430e+01,3.430796956677256704e-02,5.555830538033860316e-02,3.568569570779800415e-02
4.640935865173034358e+00,-1.314848824970743513e-02,-2.149239595342493925e-01,-1.235085725784301758e-02
1.038608202240448009e+01,1.114444703107531076e-02,-7.894591773703596438e-02,1.407513767480850220e-02
8.257657401480296144e+00,4.984227914983913044e-02,1.113661319285511875e-01,4.887496680021286011e-02
1.601920583116623220e+01,2.037759456257121071e-02,-1.911716089620312670e-02,1.766252517700195312e-02
1.061412751750350125e+01,8.944814239804699252e-03,-8.744261133937188124e-02,1.217244565486907959e-02
7.817569603920784260e+00,5.231035438142778160e-02,1.278322043685567733e-01,5.139905959367752075e-02
1.051010676535307020e+01,9.835406336668350846e-03,-8.415298811085483721e-02,1.293976604938507080e-02
8.069619887977594885e+00,5.144601439615953398e-02,1.210515537202358632e-01,5.046268552541732788e-02
1.501100469493898792e+01,3.299898992184502333e-02,4.276119504344997463e-02,3.069817274808883667e-02
1.748349795759151704e+01,1.095881257366770889e-02,-5.600219213086386760e-02,9.855113923549652100e-03
9.682031546309262104e-01,1.882917037116011993e-01,8.509253687773434827e-01,1.862424015998840332e-01
2.160531006201240334e-01,2.027253613638911600e-01,9.922383138150658866e-01,2.097281813621520996e-01
1.423084905381076126e+01,3.789690642167226065e-02,6.996174546709749142e-02,3.737543523311614990e-02
2.236456171234246781e+00,1.033183513876545223e-01,3.516766663827584627e-01,9.698995202779769897e-02
8.361768153630725342e-01,1.933622297231722409e-01,8.874747981653214879e-01,1.925315260887145996e-01
8.609727639527905652e+00,4.497152209214166918e-02,8.452765777235483891e-02,4.423495382070541382e-02
3.800768251650330054e+00,1.514942667000473975e-03,-1.611425196220645506e-01,-6.333291530609130859e-04
1.733146762752550529e+01,1.087510561556775945e-02,-5.761838954766542592e-02,9.762376546859741211e-03
1.699940138027605485e+01,1.162011525200651318e-02,-5.654508531970776214e-02,1.028101891279220581e-02
3.760850270054010847e-01,2.027139879438220327e-01,9.765928255842968309e-01,2.073467373847961426e-01
5.105028451690337477e+00,-8.480977306107195801e-03,-1.809788821987326490e-01,-7.026113569736480713e-03
6.829372458491698161e+00,4.025214724722891990e-02,7.605865598893910007e-02,4.017181694507598877e-02
2.628534390878175753e+00,7.215708876860396637e-02,1.867367775206437985e-01,6.629132479429244995e-02
1.593918986797359416e+01,2.139071019882315960e-02,-1.437787320789585786e-02,1.859983056783676147e-02
1.912391520304060899e+00,1.290046511648800798e-01,4.926927775087178163e-01,1.228221133351325989e-01
9.541913610722144057e+00,2.578081647093805051e-02,-1.224785440250121538e-02,2.687690407037734985e-02
1.155831588317663439e+01,9.694412635065430273e-03,-7.317637270925970994e-02,1.347114890813827515e-02
