# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
1.246259212493896484e+00,1.710734367370605469e+00,0.000000000000000000e+00
1.060897469520568848e+00,1.646894335746765137e+00,1.000000000000000000e+00
7.314500808715820312e-01,1.115468621253967285e+00,2.000000000000000000e+00
2.125651240348815918e-01,1.933432340621948242e+00,3.000000000000000000e+00
4.585629329085350037e-02,2.325374037027359009e-01,4.000000000000000000e+00
1.837850064039230347e-01,7.060224413871765137e-01,5.000000000000000000e+00
