# Trained_Coeffs, Sparsity_Mask
3.733287155628204346e-01,0.000000000000000000e+00
5.629666447639465332e-01,1.000000000000000000e+00
1.134082436561584473e+00,3.000000000000000000e+00
2.516212224960327148e+00,4.000000000000000000e+00
8.247246742248535156e-01,5.000000000000000000e+00
