# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
1.249535918235778809e+00,1.713078975677490234e+00,0.000000000000000000e+00
1.063540935516357422e+00,1.652762055397033691e+00,1.000000000000000000e+00
7.304264307022094727e-01,1.116772890090942383e+00,2.000000000000000000e+00
2.128993719816207886e-01,1.935563087463378906e+00,3.000000000000000000e+00
4.587161168456077576e-02,2.325058430433273315e-01,4.000000000000000000e+00
1.843237131834030151e-01,7.077593207359313965e-01,5.000000000000000000e+00
