# Expected, Recovered
5.000000000000000104e-04,5.016428748361551841e-04
5.000000000000000104e-04,5.030266929537195297e-04
5.000000000000000104e-04,4.977016094078424643e-04
2.200000000000000078e-04,3.323684042768399371e-05
3.300000000000000253e-05,2.196804859436230796e-04
