# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
7.575637102127075195e-01,1.305119991302490234e+00,0.000000000000000000e+00
8.937135338783264160e-01,6.914671063423156738e-01,1.000000000000000000e+00
8.611025214195251465e-01,5.539326667785644531e-01,2.000000000000000000e+00
4.159195899963378906e+00,6.540395021438598633e-01,3.000000000000000000e+00
3.016172170639038086e+00,3.991751372814178467e-01,5.000000000000000000e+00
6.460534036159515381e-02,1.341554671525955200e-01,6.000000000000000000e+00
