# Trained_Coeffs, Scaled_Trained_Coeffs, Sparsity_Mask
1.241690039634704590e+00,1.715198040008544922e+00,0.000000000000000000e+00
1.059143543243408203e+00,1.643040060997009277e+00,1.000000000000000000e+00
7.317599058151245117e-01,1.116568446159362793e+00,2.000000000000000000e+00
2.118068933486938477e-01,1.929423809051513672e+00,3.000000000000000000e+00
4.546701908111572266e-02,2.309090197086334229e-01,4.000000000000000000e+00
1.828640699386596680e-01,7.035376429557800293e-01,5.000000000000000000e+00
